"Id","SalePrice"
1461,117178.85829244
1462,154766.061586264
1463,176220.701107682
1464,192028.884641811
1465,196026.396034542
1466,172148.235630897
1467,175917.813774882
1468,167333.0609839
1469,196620.784785502
1470,114505.531043137
1471,200960.964775526
1472,108138.889280423
1473,104053.032194378
1474,150515.584513225
1475,121398.85578851
1476,333478.790781737
1477,240134.406640443
1478,306860.613357598
1479,288188.997036057
1480,395259.885122096
1481,298166.723441451
1482,216020.959817648
1483,182406.480858051
1484,170196.814274799
1485,202095.977319778
1486,201631.566049538
1487,294643.866817817
1488,239460.744360598
1489,184868.5148222
1490,209845.979384464
1491,195596.494140177
1492,98985.7847138972
1493,188719.54191108
1494,276676.536728758
1495,275035.074372996
1496,217279.882656429
1497,180603.631681434
1498,164066.984234725
1499,163255.309225054
1500,151599.739178188
1501,163732.323176713
1502,152946.934161266
1503,265264.89119904
1504,233388.282300548
1505,213463.689627156
1506,187244.854249247
1507,223896.465295062
1508,198443.483605838
1509,167170.385421389
1510,141662.141028342
1511,144615.23505139
1512,162368.688713249
1513,157824.67957777
1514,151540.115383913
1515,198664.646021158
1516,165790.249763114
1517,163969.621471511
1518,141862.316232534
1519,209875.422952089
1520,126398.999655905
1521,132053.378119011
1522,176358.902809835
1523,108715.55708412
1524,128050.571566175
1525,118908.112771522
1526,117204.054765585
1527,107314.615524853
1528,145615.447324743
1529,136938.247154064
1530,171969.600631167
1531,114067.540706416
1532,102060.811279822
1533,143869.765489026
1534,138386.352027027
1535,160584.766040617
1536,119954.322460455
1537,74577.2389332005
1538,157251.929206527
1539,212591.291534434
1540,115530.259022778
1541,158942.085732612
1542,141805.08676215
1543,182815.918927041
1544,86241.74746053
1545,119264.439922717
1546,140603.676788143
1547,133142.634160036
1548,136066.712410483
1549,120164.767077703
1550,134061.203354241
1551,129478.970790835
1552,125143.452697755
1553,138740.069813368
1554,122468.930512469
1555,162798.327647606
1556,98179.1056130169
1557,109517.244019591
1558,109390.790771179
1559,92263.7386693616
1560,140196.453381095
1561,126148.501418074
1562,126269.156002317
1563,114958.752421406
1564,161244.185282126
1565,146794.555881735
1566,222903.656081749
1567,86634.77080176
1568,210230.227650878
1569,128794.537039172
1570,147189.560539852
1571,131474.981919507
1572,139902.073233073
1573,236062.79316045
1574,131328.537867421
1575,210158.817937618
1576,229294.381849657
1577,186357.206994653
1578,149442.687591411
1579,142145.064329619
1580,202718.39403827
1581,144245.272787037
1582,123047.739245967
1583,283742.63644429
1584,214616.517927548
1585,145740.836837766
1586,73181.9885364363
1587,112028.711998392
1588,138921.25443784
1589,103337.21902618
1590,143642.969063473
1591,92772.9232392507
1592,126570.084820471
1593,126024.490761452
1594,126449.270037461
1595,115264.381393311
1596,200719.713456852
1597,175229.170368132
1598,217077.661708807
1599,185333.461246682
1600,184296.562997744
1601,67005.0073206916
1602,123840.720109054
1603,91946.8222478056
1604,242927.653527187
1605,254625.806301189
1606,172438.755754795
1607,185343.236221904
1608,220831.854290404
1609,185288.356252805
1610,152629.095823572
1611,147227.684257428
1612,169795.298315791
1613,159607.451899357
1614,119306.070822771
1615,92492.6165421842
1616,85420.2256737344
1617,98542.4606264174
1618,122316.373139258
1619,134911.700689676
1620,161855.766790273
1621,144453.163309117
1622,139411.270476022
1623,250977.090579771
1624,208145.675014474
1625,128404.849728476
1626,173830.327422477
1627,188332.574742925
1628,279305.633999572
1629,199473.969725352
1630,304983.369746023
1631,218046.69920456
1632,236207.235748435
1633,185806.676909837
1634,185651.803660112
1635,179414.202269208
1636,158308.850558771
1637,175344.431439577
1638,201304.071514183
1639,188561.02594418
1640,254646.069989816
1641,194064.054823358
1642,228834.976309208
1643,224217.15054178
1644,233610.114577078
1645,180426.632134992
1646,159626.864614179
1647,173270.624905351
1648,129538.421702966
1649,132496.834688148
1650,107980.950060238
1651,118934.96795655
1652,110060.827230563
1653,110761.8049888
1654,151408.631182869
1655,151332.496537713
1656,148798.509478199
1657,151062.560273467
1658,151744.442025825
1659,124714.33298004
1660,151246.45888167
1661,392932.514680815
1662,363626.010908544
1663,341373.448259251
1664,436830.687711594
1665,296366.155733787
1666,299396.735227493
1667,341106.146188669
1668,316477.936773509
1669,301793.760414247
1670,330822.827806903
1671,240637.251882806
1672,378967.719269809
1673,271818.742478423
1674,240419.175035252
1675,186454.09413685
1676,181241.788827768
1677,211925.072928573
1678,402734.335583282
1679,329253.297081847
1680,307878.320487286
1681,250491.141203851
1682,284205.581465464
1683,182214.03475097
1684,191534.04253607
1685,175262.441257525
1686,179337.748201398
1687,185854.177382759
1688,197394.229686779
1689,198541.198896204
1690,204417.600531416
1691,191734.401094446
1692,275862.422154886
1693,190272.189364214
1694,182223.230132487
1695,177699.146709245
1696,265255.925708352
1697,179321.146961457
1698,307651.326454518
1699,285147.690973499
1700,228275.789962286
1701,257673.186631094
1702,244424.041715216
1703,249511.949387233
1704,268169.718557163
1705,239867.122945954
1706,378923.862396676
1707,204234.21377039
1708,192791.669246074
1709,263956.840407634
1710,222286.179553198
1711,266650.862457147
1712,245330.325010044
1713,252671.834778781
1714,213050.897272224
1715,201704.63015292
1716,185616.860020599
1717,181983.58399569
1718,140920.887108496
1719,200513.911068007
1720,242220.253392197
1721,176709.382721008
1722,132342.667892798
1723,158725.919386836
1724,205828.234581161
1725,227949.986163893
1726,180320.448786158
1727,162168.153241292
1728,188271.372295744
1729,167113.93886257
1730,170515.222954629
1731,124201.452077864
1732,121631.895420893
1733,112061.719337813
1734,120693.078524209
1735,129432.502342046
1736,113554.771630758
1737,288169.609592965
1738,224249.888315209
1739,243514.254092331
1740,191044.949998094
1741,179172.842272899
1742,163927.68172607
1743,177731.048324576
1744,277322.737849092
1745,211188.081056325
1746,222830.484474438
1747,220613.357475896
1748,207652.25967884
1749,153599.4168981
1750,140166.773865919
1751,245430.658025984
1752,115723.627433313
1753,145389.500242283
1754,198334.676266358
1755,175421.595969405
1756,115891.336630467
1757,114708.757770816
1758,143552.982987426
1759,167309.566238035
1760,155895.060136776
1761,145225.588774357
1762,167044.03314056
1763,184226.006855634
1764,116162.174333202
1765,176210.760474569
1766,173293.618096949
1767,206217.964473868
1768,130416.538405834
1769,181893.229541161
1770,144234.635707174
1771,122765.896422984
1772,134881.353908705
1773,120872.631421008
1774,151694.501188976
1775,134948.737107138
1776,129684.888979216
1777,109520.297611924
1778,133593.629028021
1779,117284.239244577
1780,187344.913749271
1781,128894.176515289
1782,82390.9670736201
1783,136841.195231741
1784,103417.783668687
1785,119047.908240845
1786,140144.475213819
1787,172719.19782753
1788,60691.5804577688
1789,104203.638150199
1790,77644.5899005586
1791,194149.145412828
1792,155616.451842008
1793,146173.561231654
1794,152871.655871913
1795,137534.381743951
1796,137650.745472274
1797,122629.373730894
1798,114828.620934282
1799,104200.397569048
1800,129286.451961338
1801,121716.670414763
1802,154830.917308471
1803,154585.804378006
1804,138511.051047926
1805,140446.01479149
1806,135019.442967183
1807,147850.756831263
1808,134307.40413115
1809,118795.564704947
